Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,SolveTimeMs,GenerationTimeMs
161,92,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,12.21,1,1,0,5119.14,4,0,5433.11,10.25
162,93,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,24.17,2,2,0,10363.77,12,0,10688.72,10.25
163,94,4,3,2,1,1,0,3,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,774,8088.87,1,0,1,6752.20,69,1,15151.86,9.03
164,94,5,4,2,2,1,0,4,16,16,0.0156,0.3333,0.5000,0.2078,1,Sweep-S1,180,27.10,3,3,0,17899.90,34,0,18232.42,9.28
165,95,6,5,1,4,1,0,5,16,16,0.0195,0.2500,0.8000,0.2448,1,Sweep-S1,9311,709.47,5,5,0,23559.08,21,0,24570.56,10.50
166,96,7,5,3,2,3,0,5,16,16,0.0195,0.7500,0.4000,0.3148,1,Sweep-S1,32781,2361.08,1,0,1,7103.76,4,0,9771.24,10.50
167,97,8,7,5,2,3,0,7,16,16,0.0273,0.5000,0.2857,0.2208,1,Sweep-S1,5,13.43,1,0,1,7036.38,4,0,7350.83,10.25
168,98,9,5,3,2,1,0,5,16,16,0.0195,0.2500,0.4000,0.1648,1,Sweep-S1,6,12.94,1,0,1,6456.54,5,0,6769.78,10.99
169,99,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,12.94,1,1,0,5622.07,4,0,5939.70,10.74
170,100,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,24.90,2,2,0,9840.58,12,0,10174.32,9.28
171,101,4,3,2,1,2,1,4,16,16,0.0117,1.0000,0.3333,0.3725,0,Sweep,790,7385.25,1,0,1,8191.41,85,1,15880.13,10.74
172,101,5,4,3,1,2,1,5,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,32989,3771.97,4,0,4,28149.41,67,0,32230.71,10.99
173,101,6,4,3,1,2,1,5,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,738,40.28,3,3,0,23000.73,97,0,23352.29,10.74
174,101,7,5,3,2,4,1,6,16,16,0.0195,1.0000,0.4000,0.3898,1,Sweep-S1,6,13.67,1,0,1,6716.31,5,0,7034.42,10.99
175,102,8,6,3,3,2,1,7,16,16,0.0234,0.4000,0.5000,0.2317,0,Sweep,119,24.41,4,4,0,33669.68,108,0,34003.91,9.52
176,102,9,7,6,1,2,1,8,16,16,0.0273,0.3333,0.1429,0.1422,0,Sweep,276600,8012.45,0,0,0,10216.80,106,0,18540.77,11.72
177,102,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,301.51,10.74
178,103,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,1,Trivial,0,0.00,0,0,0,0.00,0,0,309.33,398.19
179,104,4,3,2,1,1,2,5,16,16,0.0117,0.5000,0.3333,0.2225,1,1B,1,12.45,1,0,1,6824.22,0,0,7442.14,10.74
180,105,5,4,1,3,1,2,6,16,16,0.0156,0.3333,0.7500,0.2578,0,Sweep,778,14516.60,1,0,1,9591.06,73,1,24412.84,10.99
181,105,6,5,2,3,3,2,7,16,16,0.0195,0.7500,0.6000,0.3548,1,Sweep-S1,8376,585.21,4,4,0,20052.25,37,0,20945.07,10.99
182,106,7,6,4,2,2,2,8,16,16,0.0234,0.4000,0.3333,0.1984,0,1A,303808,8001.95,0,0,0,11174.07,117,0,19479.25,10.99
183,106,8,6,4,2,3,2,8,16,16,0.0234,0.6000,0.3333,0.2584,0,Sweep,794,20905.76,1,0,1,12284.91,89,1,33497.31,11.47
184,106,9,8,3,5,3,2,10,16,16,0.0313,0.4286,0.6250,0.2692,0,Sweep,810,12834.47,1,0,1,12402.59,105,1,25541.26,10.50
185,106,2,1,1,0,0,3,4,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,306.64,10.74
186,107,3,2,2,0,0,3,5,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,32782,2378.17,1,0,1,6165.77,5,0,8852.78,10.50
187,108,4,3,1,2,1,3,6,16,16,0.0117,0.5000,0.6667,0.2892,0,Sweep,32879,2204.59,4,4,0,26316.41,100,0,28828.37,10.74
188,108,5,3,1,2,2,3,6,16,16,0.0117,1.0000,0.6667,0.4392,1,1B,1,13.18,1,0,1,7295.17,0,0,7919.92,14.89
189,109,6,5,3,2,3,3,8,16,16,0.0195,0.7500,0.4000,0.3148,0,1A,266925,8083.25,0,0,0,15109.62,156,0,23500.98,10.99
190,109,7,6,3,3,4,3,9,16,16,0.0234,0.8000,0.5000,0.3517,0,Sweep,41767,2971.19,6,6,0,49092.04,156,0,52373.54,11.23
191,109,8,5,1,4,2,3,8,16,16,0.0195,0.5000,0.8000,0.3198,1,Sweep-S1,33,13.43,1,0,1,8758.06,32,0,9072.51,10.74
192,110,9,7,4,3,3,3,10,16,16,0.0273,0.5000,0.4286,0.2494,1,Sweep-S1,76,13.43,1,1,0,5984.13,3,0,6301.51,11.23
193,111,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,308.35,10.74
194,112,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,0,Sweep,782,13473.63,1,0,1,9602.30,77,1,23383.54,10.74
195,112,4,3,1,2,1,4,7,16,16,0.0117,0.5000,0.6667,0.2892,0,Sweep,279400,8001.47,0,0,0,9711.67,101,0,18018.55,9.77
196,112,5,3,2,1,1,4,7,16,16,0.0117,0.5000,0.3333,0.2225,1,Sweep-S1,33,25.39,3,3,0,16674.32,23,0,17005.13,10.99
197,113,6,5,3,2,3,4,9,16,16,0.0195,0.7500,0.4000,0.3148,0,Sweep,344400,8001.22,0,0,0,14839.11,152,0,23142.58,10.74
198,113,7,5,3,2,1,4,9,16,16,0.0195,0.2500,0.4000,0.1648,0,Sweep,806,18676.76,1,0,1,12954.10,101,1,31935.55,10.74
199,113,8,5,3,2,3,4,9,16,16,0.0195,0.7500,0.4000,0.3148,1,Sweep-S1,147200,8003.17,0,0,0,260.01,2,0,8567.63,12.45
200,114,9,8,5,3,1,4,12,16,16,0.0313,0.1429,0.3750,0.1335,0,Sweep,857,21750.49,1,0,1,32443.36,152,1,54500.24,11.47
201,114,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,300.54,9.52
202,115,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,6,12.70,1,1,0,6035.89,4,0,6351.07,10.50
203,116,4,3,2,1,2,0,3,16,16,0.0117,1.0000,0.3333,0.3725,1,Sweep-S1,87,24.66,2,2,0,11076.17,13,0,11405.76,10.74
204,117,5,4,3,1,1,0,4,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,147,25.63,3,3,0,19763.67,72,0,20096.92,10.99
205,117,6,4,4,0,0,0,4,16,16,0.0156,0.0000,0.0000,0.0078,0,Sweep,766,10622.80,1,0,1,5862.31,61,1,16795.41,9.28
206,117,7,6,4,2,3,0,6,16,16,0.0234,0.6000,0.3333,0.2584,0,Sweep,782,12301.03,1,0,1,7388.92,77,1,19997.80,10.99
207,117,8,4,3,1,1,0,4,16,16,0.0156,0.3333,0.2500,0.1578,1,Sweep-S1,5,11.96,1,1,0,5639.16,4,0,5955.08,10.74
208,118,9,4,3,1,1,0,4,16,16,0.0156,0.3333,0.2500,0.1578,1,Sweep-S1,6,12.94,1,0,1,6459.72,5,0,6780.27,10.25
209,119,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,11.96,1,1,0,6131.35,4,0,6450.44,10.50
210,120,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,1B,1,13.67,1,0,1,7291.99,0,0,7920.65,10.25
211,121,4,3,3,0,0,1,4,16,16,0.0117,0.0000,0.0000,0.0059,1,Sweep-S1,29,24.90,4,4,0,22040.53,20,0,22373.54,10.99
212,122,5,3,1,2,2,1,4,16,16,0.0117,1.0000,0.6667,0.4392,1,Sweep-S1,6,13.43,1,0,1,5468.26,5,0,5790.28,10.50
213,123,6,4,2,2,2,1,5,16,16,0.0156,0.6667,0.5000,0.3078,0,Sweep,770,8873.78,1,0,1,6134.77,65,1,15315.19,9.52
214,123,7,5,3,2,3,1,6,16,16,0.0195,0.7500,0.4000,0.3148,1,Sweep-S1,34,25.39,3,3,0,19696.53,25,0,20025.63,9.52
215,124,8,6,4,2,2,1,7,16,16,0.0234,0.4000,0.3333,0.1984,0,Sweep,790,17862.30,1,0,1,11613.77,85,1,29785.64,10.99
216,124,9,5,3,2,1,1,6,16,16,0.0195,0.2500,0.4000,0.1648,0,Sweep,778,8202.39,1,0,1,6851.32,73,1,15357.18,9.52
217,124,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,302.49,10.74
218,125,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,5,12.94,1,0,1,5882.08,4,0,6203.13,10.74
219,126,4,3,2,1,1,2,5,16,16,0.0117,0.5000,0.3333,0.2225,1,Sweep-S1,6,12.45,1,0,1,6855.23,5,0,7168.70,9.52
220,127,5,4,2,2,3,2,6,16,16,0.0156,1.0000,0.5000,0.4078,0,Sweep,778,14733.89,1,0,1,9738.28,73,1,24775.63,12.21
221,127,6,5,2,3,3,2,7,16,16,0.0195,0.7500,0.6000,0.3548,1,Trivial,0,0.00,0,0,0,0.00,0,0,312.01,10.99
222,128,7,6,4,2,2,2,8,16,16,0.0234,0.4000,0.3333,0.1984,0,Sweep,303800,8000.73,0,0,0,11937.99,123,0,20246.58,11.72
223,128,8,6,4,2,2,2,8,16,16,0.0234,0.4000,0.3333,0.1984,0,Sweep,256400,8012.94,0,0,0,8515.87,89,0,16831.79,13.43
224,128,9,7,5,2,2,2,9,16,16,0.0273,0.3333,0.2857,0.1708,1,Sweep-S3,303318,8010.01,0,0,0,14967.04,149,0,23289.06,11.23
225,129,2,1,1,0,0,3,4,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,307.13,10.74
226,130,3,2,2,0,0,3,5,16,16,0.0078,0.0000,0.0000,0.0039,1,1B,1,13.67,1,0,1,8029.54,0,0,8647.46,10.50
227,131,4,3,1,2,1,3,6,16,16,0.0117,0.5000,0.6667,0.2892,1,Sweep-S1,5,13.18,1,0,1,6789.55,4,0,7107.91,10.74
228,132,5,4,2,2,2,3,7,16,16,0.0156,0.6667,0.5000,0.3078,0,Sweep,786,18087.89,1,0,1,10632.81,81,1,29028.81,10.74
229,132,6,3,2,1,1,3,6,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,845,14137.70,1,0,1,15917.48,140,1,30365.72,10.74
230,132,7,5,2,3,2,3,8,16,16,0.0195,0.5000,0.6000,0.2798,1,Sweep-S1,66087,4607.91,7,7,0,32665.53,28,0,37582.03,9.28
231,133,8,7,4,3,5,3,10,16,16,0.0273,0.8333,0.4286,0.3494,0,Sweep,866,23652.83,1,0,1,19668.95,161,1,43625.49,11.23
232,133,9,5,4,1,2,3,8,16,16,0.0195,0.5000,0.2000,0.1998,1,Sweep-S1,5,13.67,1,0,1,7294.43,4,0,7614.75,11.23
233,134,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,302.73,10.74
234,135,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,0,Sweep,228800,8011.23,0,0,0,6370.12,66,0,14684.57,11.23
235,135,4,3,1,2,1,4,7,16,16,0.0117,0.5000,0.6667,0.2892,0,Sweep,275400,8006.35,0,0,0,10563.48,106,0,18875.49,9.77
236,135,5,4,3,1,2,4,8,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,761,56.15,6,6,0,42232.42,112,0,42600.10,12.70
237,135,6,5,4,1,2,4,9,16,16,0.0195,0.5000,0.2000,0.1998,0,Sweep,345000,8002.44,0,0,0,13913.57,145,0,22223.63,10.74
238,135,7,6,4,2,3,4,10,16,16,0.0234,0.6000,0.3333,0.2584,1,1B,1,14.65,1,0,1,5243.65,0,0,5868.65,13.67
239,136,8,7,4,3,3,4,11,16,16,0.0273,0.5000,0.4286,0.2494,1,1B,513,54.69,1,0,1,9980.47,0,0,10647.46,13.18
240,137,9,7,4,3,3,4,11,16,16,0.0273,0.5000,0.4286,0.2494,1,Sweep-S1,4102,298.83,1,0,1,7840.82,5,0,8443.85,11.23
241,138,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,13.18,1,1,0,4622.56,4,0,4945.80,12.70
242,139,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,23.93,2,2,0,10601.56,12,0,10938.48,8.79
243,140,4,3,2,1,1,0,3,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,756,5777.34,1,0,1,4929.69,51,1,11019.04,11.23
244,140,5,4,3,1,1,0,4,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,673,41.50,2,2,0,21925.78,80,0,22273.44,10.25
245,140,6,5,3,2,2,0,5,16,16,0.0195,0.5000,0.4000,0.2398,0,Sweep,5285,441.41,3,3,0,21970.21,90,0,22713.38,10.74
246,140,7,4,2,2,3,0,4,16,16,0.0156,1.0000,0.5000,0.4078,0,Sweep,123,13.67,2,2,0,19792.97,120,0,20106.93,9.28
247,140,8,6,3,3,2,0,6,16,16,0.0234,0.4000,0.5000,0.2317,0,Sweep,69908,4932.62,5,5,0,35389.16,137,0,40633.30,9.77
248,140,9,4,3,1,2,0,4,16,16,0.0156,0.6667,0.2500,0.2578,1,Sweep-S1,5,14.65,1,0,1,6375.98,4,0,6699.71,12.21
249,141,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,338.87,10.74
250,142,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,0,Sweep,762,4062.01,1,0,1,5604.49,57,1,9968.26,10.74
251,142,4,3,2,1,2,1,4,16,16,0.0117,1.0000,0.3333,0.3725,1,Sweep-S1,100,24.90,3,3,0,19259.28,19,0,19593.75,10.74
252,143,5,3,2,1,2,1,4,16,16,0.0117,1.0000,0.3333,0.3725,1,Sweep-S1,5,12.70,1,0,1,6955.57,4,0,7279.79,9.77
253,144,6,5,3,2,2,1,6,16,16,0.0195,0.5000,0.4000,0.2398,0,Sweep,5276,369.14,5,5,0,36224.61,147,0,36899.41,9.77
254,144,7,4,3,1,1,1,5,16,16,0.0156,0.3333,0.2500,0.1578,1,1A,3,13.67,1,1,0,3659.67,0,0,4277.34,10.74
255,145,8,4,2,2,1,1,5,16,16,0.0156,0.3333,0.5000,0.2078,1,Sweep-S1,25,13.18,1,0,1,9769.04,24,0,10083.50,11.23
256,146,9,4,3,1,2,1,5,16,16,0.0156,0.6667,0.2500,0.2578,1,Sweep-S1,5,13.18,1,0,1,6067.87,4,0,6382.81,9.77
257,147,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,12.21,1,1,0,5638.67,4,0,5962.40,8.79
258,148,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,6,13.67,1,1,0,6309.08,4,0,6625.49,11.23
259,149,4,3,0,3,0,2,5,16,16,0.0117,0.0000,1.0000,0.2059,1,Sweep-S1,6,12.70,1,0,1,8869.14,5,0,9184.57,10.74
260,150,5,4,3,1,1,2,6,16,16,0.0156,0.3333,0.2500,0.1578,0,Sweep,232400,8000.98,0,0,0,6284.18,66,0,14589.84,12.21
261,150,6,5,4,1,2,2,7,16,16,0.0195,0.5000,0.2000,0.1998,1,Sweep-S1,6,12.21,1,1,0,5348.63,4,0,5670.41,11.23
262,151,7,6,3,3,2,2,8,16,16,0.0234,0.4000,0.5000,0.2317,0,Sweep,1317,88.38,5,5,0,46162.60,219,0,46557.62,10.74
263,151,8,7,5,2,4,2,9,16,16,0.0273,0.6667,0.2857,0.2708,0,Sweep,73973,5397.46,7,7,0,54484.86,172,0,60184.08,10.74
264,151,9,8,3,5,3,2,10,16,16,0.0313,0.4286,0.6250,0.2692,0,Sweep,366200,8004.40,0,0,0,16427.73,164,0,24742.68,10.74
265,151,2,1,1,0,0,3,4,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,12.21,1,1,0,5115.23,4,0,5428.71,11.23
266,152,3,2,2,0,0,3,5,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,23.93,4,4,0,21669.92,12,0,21999.51,11.23
267,153,4,3,2,1,1,3,6,16,16,0.0117,0.5000,0.3333,0.2225,1,Sweep-S1,6,13.67,1,0,1,5704.59,5,0,6023.44,14.65
268,154,5,4,4,0,0,3,7,16,16,0.0156,0.0000,0.0000,0.0078,1,Sweep-S1,637,42.48,4,4,0,24882.81,52,0,25232.91,11.23
269,155,6,5,4,1,1,3,8,16,16,0.0195,0.2500,0.2000,0.1248,0,1A,262841,8001.95,0,0,0,16882.32,175,0,25192.87,10.25
270,155,7,6,0,6,0,3,9,16,16,0.0234,0.0000,1.0000,0.2117,1,Sweep-S1,4687,405.76,4,4,0,20115.72,6,0,20824.22,11.72
271,156,8,5,2,3,4,3,8,16,16,0.0195,1.0000,0.6000,0.4298,1,Sweep-S1,4626,346.19,5,5,0,25095.21,7,0,25746.58,11.23
272,157,9,8,4,4,5,3,11,16,16,0.0313,0.7143,0.5000,0.3299,0,Sweep,130,43.95,1,0,1,21190.43,121,0,21536.13,11.72
273,157,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,14.16,2,2,0,12743.16,4,0,13061.52,10.74
274,158,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,19,13.67,1,1,0,6218.75,18,0,6543.46,10.74
275,159,4,3,2,1,2,4,7,16,16,0.0117,1.0000,0.3333,0.3725,1,Sweep-S1,32869,2466.80,4,4,0,23423.34,28,0,26195.80,10.74
276,160,5,4,3,1,2,4,8,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,4739,336.43,7,7,0,48821.29,122,0,49468.75,11.23
277,160,6,5,2,3,2,4,9,16,16,0.0195,0.5000,0.6000,0.2798,0,Sweep,37077,2651.86,4,4,0,30369.63,138,0,33330.57,10.25
278,160,7,6,1,5,1,4,10,16,16,0.0234,0.2000,0.8333,0.2384,1,1B,1,13.67,1,0,1,4614.75,0,0,5232.42,11.23
279,161,8,7,6,1,2,4,11,16,16,0.0273,0.3333,0.1429,0.1422,1,Sweep-S1,14,90.82,2,0,2,11800.29,4,0,12196.29,11.23
280,162,9,7,4,3,4,4,11,16,16,0.0273,0.6667,0.4286,0.2994,0,Sweep,811,10925.29,0,0,0,18463.87,98,0,29691.89,11.72
281,162,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,305.66,11.23
282,163,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,19,13.18,1,1,0,6217.29,18,0,6532.23,10.74
283,164,4,3,3,0,0,0,3,16,16,0.0117,0.0000,0.0000,0.0059,1,Sweep-S1,29,23.93,3,3,0,17251.95,20,0,17579.10,10.74
284,165,5,4,2,2,3,0,4,16,16,0.0156,1.0000,0.5000,0.4078,0,Sweep,604,41.99,3,3,0,20358.40,73,0,20704.10,10.74
285,165,6,5,3,2,3,0,5,16,16,0.0195,0.7500,0.4000,0.3148,0,Sweep,5230,359.86,4,4,0,27154.79,100,0,27817.38,9.77
286,165,7,5,4,1,1,0,5,16,16,0.0195,0.2500,0.2000,0.1248,1,Sweep-S1,45,13.18,1,1,0,9872.56,27,0,10189.45,10.74
287,166,8,5,3,2,2,0,5,16,16,0.0195,0.5000,0.4000,0.2398,0,Sweep,770,10416.02,1,0,1,6134.28,65,1,16853.52,9.77
288,166,9,5,2,3,1,0,5,16,16,0.0195,0.2500,0.6000,0.2048,0,Sweep,57,12.21,1,0,1,12931.15,56,0,13248.54,13.18
289,166,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,310.06,10.74
290,167,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,29.30,2,2,0,10661.13,12,0,10992.68,9.28
291,168,4,3,2,1,2,1,4,16,16,0.0117,1.0000,0.3333,0.3725,0,Sweep,1133,80.08,3,3,0,22314.94,100,0,22697.27,9.28
292,168,5,4,2,2,2,1,5,16,16,0.0156,0.6667,0.5000,0.3078,0,Sweep,1125,83.98,3,3,0,20685.55,82,0,21081.05,11.23
293,168,6,5,2,3,1,1,6,16,16,0.0195,0.2500,0.6000,0.2048,0,Sweep,66733,4670.90,4,4,0,29422.85,99,0,34393.55,15.14
294,168,7,6,2,4,3,1,7,16,16,0.0234,0.6000,0.6667,0.3251,1,Sweep-S1,598,41.99,3,3,0,14905.76,13,0,15260.25,11.23
295,169,8,4,2,2,1,1,5,16,16,0.0156,0.3333,0.5000,0.2078,1,Sweep-S1,138,25.88,4,4,0,23276.37,49,0,23614.26,10.74
296,170,9,8,5,3,3,1,9,16,16,0.0313,0.4286,0.3750,0.2192,0,Sweep,804,14938.96,1,0,1,12091.31,99,1,27337.40,11.23
297,170,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,12.21,1,1,0,4604.98,4,0,4923.34,9.77
298,171,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,23.93,4,4,0,25851.56,12,0,26181.15,9.28
299,172,4,3,2,1,1,2,5,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,774,12726.56,1,0,1,6675.78,69,1,19715.33,10.74
300,172,5,4,2,2,2,2,6,16,16,0.0156,0.6667,0.5000,0.3078,0,Sweep,8357,574.22,4,4,0,25006.35,90,0,25882.81,10.74
301,172,6,5,3,2,2,2,7,16,16,0.0195,0.5000,0.4000,0.2398,0,Sweep,786,16509.77,1,0,1,10760.25,81,1,27575.68,10.25
302,172,7,6,1,5,2,2,8,16,16,0.0234,0.4000,0.8333,0.2984,0,Sweep,139,30.27,3,3,0,23751.46,121,0,24090.82,26.37
303,172,8,7,5,2,1,2,9,16,16,0.0273,0.1667,0.2857,0.1208,1,Trivial,0,0.00,0,0,0,0.00,0,0,313.96,12.70
304,173,9,8,4,4,3,2,10,16,16,0.0313,0.4286,0.5000,0.2442,0,Sweep,38147,3112.79,8,8,0,54932.62,185,0,58358.40,12.21
305,173,2,1,1,0,0,3,4,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,14.16,1,1,0,5648.44,4,0,5964.84,12.21
306,174,3,2,2,0,0,3,5,16,16,0.0078,0.0000,0.0000,0.0039,1,Trivial,0,0.00,0,0,0,0.00,0,0,300.29,10.74
307,175,4,3,3,0,0,3,6,16,16,0.0117,0.0000,0.0000,0.0059,1,Sweep-S1,29,29.79,4,4,0,20127.93,20,0,20467.77,12.21
308,176,5,3,3,0,0,3,6,16,16,0.0117,0.0000,0.0000,0.0059,0,Sweep,217000,8002.44,0,0,0,7546.39,71,0,15860.35,11.72
309,176,6,5,2,3,3,3,8,16,16,0.0195,0.7500,0.6000,0.3548,1,Sweep-S1,5,14.65,3,3,0,13748.05,4,0,14064.45,12.70
310,177,7,6,5,1,1,3,9,16,16,0.0234,0.2000,0.1667,0.1051,0,1A,295142,8004.40,0,0,0,16613.77,155,0,24924.32,12.21
311,177,8,6,3,3,4,3,9,16,16,0.0234,0.8000,0.5000,0.3517,1,Sweep-S1,5,15.14,2,2,0,10036.62,4,0,10358.89,12.21
312,178,9,8,4,4,5,3,11,16,16,0.0313,0.7143,0.5000,0.3299,0,Sweep,1357,17195.80,0,0,0,36916.99,140,0,54413.09,12.70
313,178,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,313.48,11.72
314,179,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,1,Trivial,0,0.00,0,0,0,0.00,0,0,308.11,12.70
315,180,4,3,1,2,2,4,7,16,16,0.0117,1.0000,0.6667,0.4392,1,Sweep-S1,192000,8009.28,0,0,0,6276.86,60,0,14587.40,12.21
316,181,5,4,4,0,0,4,8,16,16,0.0156,0.0000,0.0000,0.0078,1,Sweep-S1,58,15.14,1,1,0,13084.96,56,0,13409.18,12.21
317,182,6,5,2,3,3,4,9,16,16,0.0195,0.7500,0.6000,0.3548,1,1A,3,15.63,1,1,0,4638.67,0,0,5258.79,11.72
318,183,7,6,3,3,5,4,10,16,16,0.0234,1.0000,0.5000,0.4117,1,Sweep-S1,4182,305.66,4,4,0,19644.53,13,0,20256.84,11.23
319,184,8,6,4,2,2,4,10,16,16,0.0234,0.4000,0.3333,0.1984,0,Sweep,351600,8005.37,0,0,0,14976.56,157,0,23284.18,11.23
320,184,9,7,2,5,4,4,11,16,16,0.0273,0.6667,0.7143,0.3565,1,Sweep-S2,723,18107.42,1,0,1,16223.14,18,1,34642.58,11.72
321,185,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,12.21,1,1,0,5620.61,4,0,5937.50,9.77
322,186,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,13,12.70,1,1,0,5796.88,4,0,6121.58,12.70
323,187,4,3,2,1,1,0,3,16,16,0.0117,0.5000,0.3333,0.2225,1,1B,1,12.70,1,0,1,7840.82,0,0,8466.80,10.74
324,188,5,4,4,0,0,0,4,16,16,0.0156,0.0000,0.0000,0.0078,0,Sweep,766,7991.70,1,0,1,5929.69,61,1,14222.17,10.74
325,188,6,4,3,1,2,0,4,16,16,0.0156,0.6667,0.2500,0.2578,1,1B,1,13.67,1,0,1,9024.41,0,0,9652.34,11.23
326,189,7,5,1,4,1,0,5,16,16,0.0195,0.2500,0.8000,0.2448,1,1A,27,28.32,2,2,0,10292.48,0,0,10937.99,10.74
327,190,8,6,4,2,2,0,6,16,16,0.0234,0.4000,0.3333,0.1984,0,Sweep,210,27.34,4,4,0,28703.13,121,0,29040.04,10.74
328,190,9,7,4,3,5,0,7,16,16,0.0273,0.8333,0.4286,0.3494,1,Sweep-S1,8,13.67,1,0,1,7590.82,7,0,7906.25,10.74
329,191,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,301.76,10.74
330,192,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,6,13.18,1,1,0,6050.78,4,0,6375.49,10.25
331,193,4,3,0,3,0,1,4,16,16,0.0117,0.0000,1.0000,0.2059,1,Sweep-S1,85,26.37,4,4,0,17302.73,2,0,17634.77,9.77
