Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,SolveTimeMs,GenerationTimeMs
33,17,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,11.72,1,1,0,5625.55,4,0,5940.06,11.47
34,18,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,0,Sweep,262246,8002.32,0,0,0,9024.05,93,0,17333.01,9.64
35,18,4,3,2,1,1,4,7,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,790,16876.28,1,0,1,13108.03,85,1,30287.72,10.80
36,18,5,4,1,3,1,4,8,16,16,0.0156,0.3333,0.7500,0.2578,0,Sweep,220000,8009.40,0,0,0,8285.40,82,0,16597.23,13.49
37,18,6,3,2,1,1,4,7,16,16,0.0117,0.5000,0.3333,0.2225,1,1B,1,15.63,1,0,1,7277.65,0,0,7913.76,16.48
38,19,7,5,3,2,2,4,9,16,16,0.0195,0.5000,0.4000,0.2398,0,Sweep,202,29.91,7,7,0,46552.06,129,0,46889.10,11.78
39,19,8,5,2,3,3,4,9,16,16,0.0195,0.7500,0.6000,0.3548,0,Sweep,895,15149.78,1,0,1,21434.33,190,1,36886.96,11.23
40,19,9,8,8,0,0,4,12,16,16,0.0313,0.0000,0.0000,0.0156,0,Sweep,926,19215.88,0,0,0,40222.66,157,0,59751.89,12.21
41,19,2,1,1,0,0,0,1,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,12.02,1,1,0,5639.40,4,0,5954.96,10.38
42,20,3,2,2,0,0,0,2,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,5,13.49,1,0,1,5381.47,4,0,5698.85,10.31
43,21,4,3,2,1,1,0,3,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,714,453.86,1,0,1,4601.56,49,1,5361.02,10.62
44,21,5,3,2,1,1,0,3,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,754,6097.84,1,0,1,4732.00,49,1,11139.10,10.80
45,21,6,5,2,3,2,0,5,16,16,0.0195,0.5000,0.6000,0.2798,0,Sweep,8885,620.00,3,3,0,22761.23,90,0,23689.64,10.62
46,21,7,4,3,1,2,0,4,16,16,0.0156,0.6667,0.2500,0.2578,0,Sweep,65,13.00,1,1,0,11786.74,64,0,12107.97,10.25
47,21,8,4,1,3,2,0,4,16,16,0.0156,0.6667,0.7500,0.3578,0,Sweep,795,10700.93,1,0,1,8632.69,90,1,19643.74,10.86
48,21,9,8,5,3,5,0,8,16,16,0.0313,0.7143,0.3750,0.3049,1,1B,1,14.22,1,0,1,8849.06,0,0,9475.77,10.86
49,22,2,1,1,0,0,1,2,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,311.04,10.25
50,23,3,2,2,0,0,1,3,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,21,24.78,2,2,0,10608.89,12,0,10944.52,10.86
51,24,4,3,3,0,0,1,4,16,16,0.0117,0.0000,0.0000,0.0059,1,Sweep-S1,5,13.67,1,0,1,6548.28,4,0,6872.62,10.13
52,25,5,3,2,1,1,1,4,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,770,8214.17,1,0,1,6446.35,65,1,14961.67,11.05
53,25,6,3,2,1,2,1,4,16,16,0.0117,1.0000,0.3333,0.3725,1,Sweep-S1,8,13.37,1,0,1,8296.14,7,0,8614.87,9.34
54,26,7,6,4,2,2,1,7,16,16,0.0234,0.4000,0.3333,0.1984,1,1B,1,13.43,1,0,1,8306.52,0,0,8927.98,10.99
55,27,8,7,6,1,1,1,8,16,16,0.0273,0.1667,0.1429,0.0922,1,Sweep-S1,5,14.77,1,0,1,8281.01,4,0,8605.35,11.35
56,28,9,7,3,4,3,1,8,16,16,0.0273,0.5000,0.5714,0.2780,0,None,0,0.00,0,0,0,0.00,0,0,0.37,10.99
57,28,2,1,1,0,0,2,3,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,302.98,10.25
58,29,3,2,2,0,0,2,4,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,5,13.31,1,0,1,6832.03,4,0,7150.64,10.74
59,30,4,3,2,1,1,2,5,16,16,0.0117,0.5000,0.3333,0.2225,0,Sweep,176,12.94,1,1,0,15262.33,102,0,15584.35,11.11
60,30,5,3,1,2,1,2,5,16,16,0.0117,0.5000,0.6667,0.2892,1,Sweep-S1,32781,2361.94,1,0,1,5378.42,4,0,8051.27,9.64
61,31,6,5,4,1,2,2,7,16,16,0.0195,0.5000,0.2000,0.1998,1,1B,1,12.82,1,0,1,7306.15,0,0,7934.08,9.89
62,32,7,3,2,1,2,2,5,16,16,0.0117,1.0000,0.3333,0.3725,0,Sweep,770,9998.78,1,0,1,6233.40,65,1,16537.84,10.50
63,32,8,6,3,3,2,2,8,16,16,0.0234,0.4000,0.5000,0.2317,1,1B,1,13.06,1,0,1,4931.03,0,0,5556.03,10.74
64,33,9,8,5,3,5,2,10,16,16,0.0313,0.7143,0.3750,0.3049,0,Sweep,814,15701.66,1,0,1,23038.09,109,1,39043.09,11.35
65,33,2,1,1,0,0,3,4,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,11.84,1,1,0,5632.32,4,0,5951.17,10.74
66,34,3,2,2,0,0,3,5,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,19,12.08,1,1,0,5745.12,18,0,6065.43,10.74
